,input_level,hvv,part_b,character
0,combo,"hero, villain, victim",Center,none.donald trump.hillary clinton
1,combo,"hero, villain, victim",Center,none.donald trump.joe biden
2,combo,"hero, villain, victim",Center,donald trump.hillary clinton.none
3,combo,"hero, villain, victim",Center,hillary clinton.donald trump.none
4,combo,"hero, villain, victim",Center,none.china.none
5,combo,"hero, villain, victim",Center,hillary clinton.none.none
6,combo,"hero, villain, victim",Center,mike pompeo.none.none
7,combo,"hero, villain, victim",CenterLeft,joe biden.donald trump.none
8,combo,"hero, villain, victim",CenterLeft,prince harry.none.none
9,combo,"hero, villain, victim",CenterLeft,bernie sanders.hillary clinton.none
10,combo,"hero, villain, victim",CenterLeft,juan guaidó.nicolás maduro.venezuelan people
11,combo,"hero, villain, victim",CenterLeft,boris johnson.none.none
12,combo,"hero, villain, victim",CenterRight,none.hillary clinton.none
13,combo,"hero, villain, victim",CenterRight,joe biden.donald trump.none
14,combo,"hero, villain, victim",CenterRight,none.none.hillary clinton
15,combo,"hero, villain, victim",CenterRight,hillary clinton.donald trump.none
16,combo,"hero, villain, victim",CenterRight,none.russia.ukraine
17,combo,"hero, villain, victim",CenterRight,none.donald trump.ted cruz
18,combo,"hero, villain, victim",CenterRight,none.none.india
19,combo,"hero, villain, victim",FarLeft,none.donald trump.hillary clinton
20,combo,"hero, villain, victim",FarLeft,joe biden.donald trump.none
21,combo,"hero, villain, victim",FarLeft,bernie sanders.hillary clinton.none
22,combo,"hero, villain, victim",FarLeft,none.donald trump.ted cruz
23,combo,"hero, villain, victim",FarLeft,michael cohen.donald trump.none
24,combo,"hero, villain, victim",FarLeft,ted cruz.donald trump.none
25,combo,"hero, villain, victim",FarLeft,none.donald trump.michael cohen
26,combo,"hero, villain, victim",FarLeft,ted cruz.none.none
27,combo,"hero, villain, victim",FarLeft,none.richard spencer.none
28,combo,"hero, villain, victim",FarLeft,none.donald trump.canada
29,combo,"hero, villain, victim",FarLeft,none.joe biden.tara reade
30,combo,"hero, villain, victim",FarLeft,tara reade.joe biden.none
31,combo,"hero, villain, victim",FarRight,alex jones.global elite.80% of the world's population
32,combo,"hero, villain, victim",FarRight,alex jones.global elite.world population
33,combo,"hero, villain, victim",FarRight,none.hillary clinton.none
34,combo,"hero, villain, victim",FarRight,none.vladimir putin.target
35,combo,"hero, villain, victim",FarRight,none.donald trump.hillary clinton
36,combo,"hero, villain, victim",FarRight,donald trump.hillary clinton.none
37,combo,"hero, villain, victim",FarRight,vladimir putin.international criminal court.russia
38,combo,"hero, villain, victim",FarRight,none.hillary clinton.donald trump
39,combo,"hero, villain, victim",FarRight,none.international criminal court.vladimir putin
40,combo,"hero, villain, victim",FarRight,none.joe biden.donald trump
41,combo,"hero, villain, victim",FarRight,michael harrington.target.walmart
42,combo,"hero, villain, victim",Left,none.russia.none
43,combo,"hero, villain, victim",Left,hillary clinton.donald trump.none
44,combo,"hero, villain, victim",Left,none.jussie smollett.none
45,combo,"hero, villain, victim",Left,bernie sanders.hillary clinton.none
46,combo,"hero, villain, victim",Left,none.joe biden.tara reade
47,combo,"hero, villain, victim",Left,none.donald trump.canada
48,combo,"hero, villain, victim",Right,none.vladimir putin.target
49,combo,"hero, villain, victim",Right,none.donald trump.joe biden
50,combo,"hero, villain, victim",Right,none.none.hillary clinton
51,combo,"hero, villain, victim",Right,kate middleton.none.none
52,combo,"hero, villain, victim",Right,none.russia.ukraine
53,combo,"hero, villain, victim",Right,none.donald trump.republican party
54,combo,"hero, villain, victim",Right,none.international criminal court.donald trump
55,combo,"hero, villain, victim",Right,none.barack obama.americans
56,combo,"hero, villain, victim",Right,nancy pelosi.none.none
57,single,hero,Center,hillary clinton
58,single,hero,Center,mitch mcconnell
59,single,hero,Center,andy murray
60,single,hero,Center,joel embiid
61,single,hero,Center,volodymyr zelensky
62,single,hero,Center,giannis antetokounmpo
63,single,hero,Center,juan guaidó
64,single,hero,Center,ash carter
65,single,hero,Center,meghan markle
66,single,hero,CenterLeft,joe manchin
67,single,hero,CenterLeft,juan guaidó
68,single,hero,CenterLeft,tiger woods
69,single,hero,CenterLeft,lady gaga
70,single,hero,CenterLeft,george soros
71,single,hero,CenterLeft,gal gadot
72,single,hero,CenterLeft,michael avenatti
73,single,hero,CenterRight,joe biden
74,single,hero,CenterRight,ted cruz
75,single,hero,CenterRight,hillary clinton
76,single,hero,CenterRight,nigel farage
77,single,hero,CenterRight,anthony fauci
78,single,hero,CenterRight,tara reade
79,single,hero,CenterRight,volodymyr zelensky
80,single,hero,CenterRight,staffan de mistura
81,single,hero,CenterRight,cardi b
82,single,hero,CenterRight,david cameron
83,single,hero,CenterRight,juan guaidó
84,single,hero,CenterRight,ben wallace
85,single,hero,FarLeft,hillary clinton
86,single,hero,FarLeft,ted cruz
87,single,hero,FarLeft,alexandria ocasio-cortez
88,single,hero,FarLeft,anthony fauci
89,single,hero,FarLeft,pete buttigieg
90,single,hero,FarLeft,michael cohen
91,single,hero,FarLeft,tara reade
92,single,hero,FarLeft,brad raffensperger
93,single,hero,FarLeft,kayleigh mcenany
94,single,hero,FarLeft,jerry brown
95,single,hero,FarLeft,michael avenatti
96,single,hero,FarLeft,gary johnson
97,single,hero,FarLeft,sean spicer
98,single,hero,FarLeft,mick mulvaney
99,single,hero,FarLeft,mark milley
100,single,hero,FarLeft,marine le pen
101,single,hero,FarLeft,jim acosta
102,single,hero,FarLeft,cassidy hutchinson
103,single,hero,FarLeft,john fetterman
104,single,hero,FarLeft,al franken
105,single,hero,FarRight,alex jones
106,single,hero,FarRight,ted cruz
107,single,hero,FarRight,ron desantis
108,single,hero,FarRight,dave hodges
109,single,hero,FarRight,chris christie
110,single,hero,FarRight,herschel walker
111,single,hero,Left,ted cruz
112,single,hero,Left,chris christie
113,single,hero,Left,kellyanne conway
114,single,hero,Left,john kasich
115,single,hero,Left,rex tillerson
116,single,hero,Left,lady gaga
117,single,hero,Left,david hogg
118,single,hero,Left,john fetterman
119,single,hero,Left,juan guaidó
120,single,hero,Left,giannis antetokounmpo
121,single,hero,Right,theodore shoebat
122,single,hero,Right,james mattis
123,single,hero,Right,ben carson
124,single,hero,Right,kate middleton
125,single,hero,Right,josh hawley
126,single,hero,Right,stacey abrams
127,single,hero,Right,volodymyr zelensky
128,single,hero,Right,volodymyr zelenskyy
129,single,hero,Right,liz cheney
130,single,hero,Right,rosa parks
131,single,hero,Right,moon jae-in
132,single,hero,Right,joel embiid
133,single,victim,Center,hillary clinton
134,single,victim,Center,venezuela
135,single,victim,Center,ted cruz
136,single,victim,Center,afghanistan
137,single,victim,Center,police
138,single,victim,Center,isis
139,single,victim,Center,central american migrants
140,single,victim,Center,hong kong
141,single,victim,Center,jacob blake
142,single,victim,Center,indian people
143,single,victim,Center,unvaccinated people
144,single,victim,CenterLeft,hillary clinton
145,single,victim,CenterLeft,ted cruz
146,single,victim,CenterLeft,protesters
147,single,victim,CenterLeft,british people
148,single,victim,CenterLeft,boris johnson
149,single,victim,CenterLeft,unvaccinated people
150,single,victim,CenterLeft,russian citizens
151,single,victim,CenterLeft,federal workers
152,single,victim,CenterLeft,john kasich
153,single,victim,CenterRight,hillary clinton
154,single,victim,CenterRight,ukraine
155,single,victim,CenterRight,ted cruz
156,single,victim,CenterRight,julian assange
157,single,victim,CenterRight,tara reade
158,single,victim,CenterRight,james comey
