none.none.none,"[0.5959166209282857, 0.3572288233114917]"
alex jones.global elite.80% of the world's population,"[0.519005006895982, 0.3887518206683406]"
none.donald trump.joe biden,"[0.5673111601599962, 0.4216022887043508]"
none.joe biden.donald trump,"[0.6680157836934114, 0.5479874090248009]"
hillary clinton.donald trump.none,"[0.7354023462875997, 0.7352761507343379]"
ted cruz.donald trump.none,"[0.43844996930747576, 0.9999999999999996]"
vladimir putin.none.none,"[-0.03042903097250923, 0.5701779377163205]"
none.russia.ukraine,"[0.22259787781555623, 0.7429507429511145]"
none.none.covid-19,"[0.7540177231300166, -0.02371053332090666]"
ron desantis.none.none,"[0.2578155966122688, 0.5589746567448713]"
bernie sanders.none.none,"[0.9999999999999998, -0.017568209223157664]"
none.bill clinton.hillary clinton,"[-0.02862918339559249, 0.5652767597611374]"
hillary clinton.none.none,"[-0.01735264020984512, 0.7027283689263071]"
none.joe biden.united states,"[-0.023395413544786543, 0.6237706113316797]"
