none.donald trump.none,"[0.6472651428855238, 0.5159325631332043]"
none.donald trump.hillary clinton,"[0.5801592701961392, 0.5959994196138898]"
joe biden.donald trump.none,"[0.40437746681019016, 0.6038849997030643]"
roman semiokhin.none.none,"[0.5409855145938434, 0.48553626479197]"
none.donald trump.north korea,"[0.5821271239773445, 0.2942301562001912]"
bernie sanders.hillary clinton.none,"[0.8092327491875515, 0.7215319667869557]"
none.hillary clinton.none,"[0.44170912612445334, 0.5273411819082531]"
none.donald trump.ted cruz,"[0.634553176168929, 0.2574225392904013]"
bernie sanders.hillary clinton.donald trump,"[0.7014388489208637, 0.4025500910746814]"
none.donald trump.michael cohen,"[0.5521582733812952, 0.10382513661202189]"
anthony fauci.donald trump.none,"[0.5743589743589744, 0.36103896103896105]"
